rank,term,type,count
138,where,unigram,11800
139,understand,unigram,11781
140,go,unigram,11763
141,to make,bigram,11665
142,being,unigram,11534
143,give,unigram,11517
144,yes,unigram,11435
145,not sure,bigram,11431
146,work,unigram,11387
147,feel,unigram,11364
148,lot,unigram,11294
149,human how,bigram,11276
150,you think,bigram,11154
151,maybe,unigram,11102
152,probably,unigram,11028
153,she,unigram,11017
154,money,unigram,10911
155,these,unigram,10792
156,way to,bigram,10753
157,going,unigram,10589
158,different,unigram,10575
159,how to,bigram,10500
160,let,unigram,10454
161,time,unigram,10418
162,this is,bigram,10325
163,his,unigram,10253
164,am,unigram,10252
165,were,unigram,10094
166,illegal,unigram,9768
167,can be,bigram,9756
168,ve,unigram,9706
169,law,unigram,9653
170,to help,bigram,9520
171,him,unigram,9425
172,trying,unigram,9291
173,been,unigram,9288
174,and the,bigram,9163
175,contact,unigram,9140
176,car,unigram,9096
177,that the,bigram,9028
178,even,unigram,8954
179,trying to,bigram,8937
180,important,unigram,8832
181,lot of,bigram,8806
182,tell me,bigram,8769
183,don know,bigram,8729
184,ask,unigram,8698
185,try to,bigram,8696
186,have to,bigram,8544
187,the best,bigram,8528
188,look,unigram,8523
189,is the,bigram,8446
190,you might,bigram,8411
191,would you,bigram,8381
192,much,unigram,8369
193,able,unigram,8347
194,first,unigram,8334
195,able to,bigram,8329
196,only,unigram,8257
197,going to,bigram,8213
198,might be,bigram,8154
199,bad,unigram,8143
200,for the,bigram,8126
201,about the,bigram,8116
202,thing,unigram,8085
203,without,unigram,8077
204,me to,bigram,7993
205,police,unigram,7992
206,you like,bigram,7890
207,using,unigram,7856
208,asking,unigram,7824
209,such,unigram,7803
210,like to,bigram,7790
211,better,unigram,7768
212,you to,bigram,7754
213,kind,unigram,7688
214,idea,unigram,7671
215,that is,bigram,7636
216,and you,bigram,7585
217,with the,bigram,7484
218,they re,bigram,7472
219,is that,bigram,7455
220,address,unigram,7417
221,example,unigram,7403
222,they are,bigram,7386
223,people who,bigram,7384
224,used,unigram,7371
225,you know,bigram,7369
226,women,unigram,7332
227,to have,bigram,7317
228,how can,bigram,7312
229,ways,unigram,7292
230,can help,bigram,7241
231,for you,bigram,7241
232,okay,unigram,7182
233,sex,unigram,7180
234,does,unigram,7137
235,actually,unigram,7130
236,crime,unigram,7097
237,it would,bigram,6989
238,sounds,unigram,6967
239,how do,bigram,6958
240,ok,unigram,6904
241,answer,unigram,6856
242,against,unigram,6835
243,did,unigram,6825
244,those,unigram,6715
245,and then,bigram,6678
246,you need,bigram,6673
247,others,unigram,6642
248,is to,bigram,6627
249,you ll,bigram,6611
250,kind of,bigram,6576
251,think it,bigram,6535
252,looking,unigram,6528
253,is not,bigram,6526
254,talk,unigram,6525
255,kill,unigram,6517
256,else,unigram,6479
257,put,unigram,6453
258,to use,bigram,6444
259,another,unigram,6434
260,never,unigram,6394
261,think that,bigram,6394
262,doing,unigram,6364
263,you don,bigram,6362
264,black,unigram,6361
265,violence,unigram,6354
266,number,unigram,6328
267,states,unigram,6263
268,sexual,unigram,6256
269,what do,bigram,6234
270,but it,bigram,6221
271,possible,unigram,6219
272,own,unigram,6217
273,should be,bigram,6183
274,oh,unigram,6182
275,think you,bigram,6160
276,us,unigram,6158
277,specific,unigram,6154
278,too,unigram,6137
279,from the,bigram,6128
280,since,unigram,6081
281,body,unigram,6076
282,place,unigram,6036
283,do that,bigram,5981
284,the most,bigram,5978
285,through,unigram,5976
286,local,unigram,5967
287,our,unigram,5962
288,support,unigram,5951
289,anything,unigram,5949
290,call,unigram,5925
291,off,unigram,5901
292,yourself,unigram,5875
293,drugs,unigram,5858
294,and it,bigram,5835
295,great,unigram,5827
296,recommend,unigram,5807
297,hard,unigram,5787
298,more about,bigram,5777
299,getting,unigram,5766
300,be able,bigram,5764
301,assistant you,bigram,5731
302,now,unigram,5723
303,are some,bigram,5710
304,over,unigram,5661
305,to find,bigram,5635
306,believe,unigram,5623
307,world,unigram,5605
308,don think,bigram,5605
309,legal,unigram,5598
310,few,unigram,5578
311,there is,bigram,5571
312,start,unigram,5563
313,for example,bigram,5553
314,steal,unigram,5540
315,that it,bigram,5537
316,what is,bigram,5534
317,home,unigram,5507
318,likely,unigram,5495
319,health,unigram,5477
320,keep,unigram,5396
321,doesn,unigram,5383
322,that they,bigram,5350
323,had,unigram,5315
324,you tell,bigram,5315
325,drug,unigram,5296
326,white,unigram,5288
327,around,unigram,5286
328,human can,bigram,5280
329,provide,unigram,5249
330,so you,bigram,5224
331,like you,bigram,5216
332,to know,bigram,5200
333,life,unigram,5189
334,what are,bigram,5187
335,the person,bigram,5187
336,while,unigram,5180
337,in your,bigram,5176
338,the police,bigram,5144
339,united,unigram,5108
340,back,unigram,5044
341,situation,unigram,5024
342,don have,bigram,5014
343,having,unigram,4977
344,away,unigram,4971
345,pretty,unigram,4949
346,that would,bigram,4926
347,do it,bigram,4922
348,sounds like,bigram,4910
349,the united,bigram,4890
350,friend,unigram,4883
351,to you,bigram,4860
352,talking,unigram,4845
353,have any,bigram,4840
354,food,unigram,4835
355,often,unigram,4831
356,cause,unigram,4823
357,phone,unigram,4822
358,always,unigram,4816
359,to say,bigram,4804
360,house,unigram,4801
361,if they,bigram,4793
362,still,unigram,4787
363,united states,bigram,4777
364,buy,unigram,4772
365,same,unigram,4733
366,happy,unigram,4725
367,seems,unigram,4717
368,such as,bigram,4714
369,of people,bigram,4713
370,at the,bigram,4704
371,down,unigram,4654
372,you would,bigram,4642
373,anyone,unigram,4640
374,the law,bigram,4620
375,safe,unigram,4618
376,avoid,unigram,4613
377,people are,bigram,4601
378,is it,bigram,4597
379,online,unigram,4591
380,before,unigram,4558
381,little,unigram,4524
382,the same,bigram,4499
383,humans,unigram,4488
384,will be,bigram,4473
385,explain,unigram,4432
386,men,unigram,4423
387,making,unigram,4412
388,tell you,bigram,4412
389,it to,bigram,4409
390,what the,bigram,4401
391,government,unigram,4387
392,that are,bigram,4373
393,can do,bigram,4355
394,new,unigram,4351
395,can also,bigram,4351
396,though,unigram,4339
397,social,unigram,4336
398,looking for,bigram,4321
399,less,unigram,4320
400,gun,unigram,4310
401,it not,bigram,4302
402,word,unigram,4300
403,problem,unigram,4298
404,long,unigram,4298
405,national,unigram,4283
406,important to,bigram,4282
407,serious,unigram,4279
408,questions,unigram,4274
409,out of,bigram,4272
410,and that,bigram,4241
411,do not,bigram,4231
412,do this,bigram,4188
413,to take,bigram,4179
414,country,unigram,4176
415,learn,unigram,4175
416,www,unigram,4169
417,of your,bigram,4155
418,when you,bigram,4136
419,name,unigram,4114
420,that can,bigram,4110
421,them to,bigram,4108
422,two,unigram,4089
423,common,unigram,4083
424,means,unigram,4083
425,the world,bigram,4080
426,children,unigram,4079
427,including,unigram,4073
428,but you,bigram,4070
429,called,unigram,4067
430,say that,bigram,4065
431,are many,bigram,4064
432,thinking,unigram,4062
433,laws,unigram,4060
434,said,unigram,4056
435,break,unigram,4055
436,about what,bigram,4051
437,man,unigram,4039
438,let me,bigram,4031
439,bit,unigram,4028
440,store,unigram,4026
441,family,unigram,4024
442,assistant well,bigram,4016
443,assistant that,bigram,4015
444,you feel,bigram,4015
445,child,unigram,4013
446,mean by,bigram,4012
447,saying,unigram,4004
448,don want,bigram,4000
449,dangerous,unigram,3995
450,human yes,bigram,3994
451,resources,unigram,3992
452,could be,bigram,3985
453,you do,bigram,3974
454,know what,bigram,3944
455,are not,bigram,3934
456,report,unigram,3929
457,dog,unigram,3925
458,if the,bigram,3925
459,which is,bigram,3911
460,assistant it,bigram,3910
461,sure what,bigram,3906
462,caught,unigram,3902
463,however,unigram,3893
464,won,unigram,3886
465,care,unigram,3853
466,if it,bigram,3853
467,may be,bigram,3849
468,to kill,bigram,3814
469,considered,unigram,3807
470,made,unigram,3806
471,general,unigram,3800
472,about this,bigram,3792
473,part,unigram,3778
474,everyone,unigram,3774
475,give you,bigram,3772
476,come,unigram,3749
477,who are,bigram,3747
478,consider,unigram,3741
479,hurt,unigram,3726
480,wrong,unigram,3715
481,after,unigram,3705
482,help me,bigram,3692
483,bank,unigram,3688
484,so that,bigram,3687
485,isn,unigram,3679
486,to go,bigram,3662
487,other people,bigram,3660
488,best way,bigram,3651
489,then you,bigram,3636
490,difficult,unigram,3614
491,to your,bigram,3611
492,case,unigram,3608
493,found,unigram,3608
494,woman,unigram,3582
495,hear,unigram,3576
496,about it,bigram,3576
497,behavior,unigram,3572
498,you with,bigram,3545
499,personal,unigram,3541
500,society,unigram,3541
501,enough,unigram,3531
502,pay,unigram,3527
503,by the,bigram,3514
504,to me,bigram,3513
505,makes,unigram,3511
506,respect,unigram,3497
507,true,unigram,3491
508,ways to,bigram,3491
509,some of,bigram,3490
510,advice,unigram,3485
511,both,unigram,3483
512,make sure,bigram,3480
513,but if,bigram,3477
514,website,unigram,3468
515,assistant not,bigram,3462
516,security,unigram,3456
517,live,unigram,3450
518,into the,bigram,3448
519,type,unigram,3443
520,water,unigram,3438
521,it sounds,bigram,3432
522,guess,unigram,3424
523,it assistant,bigram,3420
524,is there,bigram,3418
525,maybe you,bigram,3407
526,and they,bigram,3395
527,happy to,bigram,3394
528,contact the,bigram,3392
529,have the,bigram,3391
530,we can,bigram,3388
531,one of,bigram,3387
532,free,unigram,3384
533,sometimes,unigram,3376
534,ideas,unigram,3375
535,some people,bigram,3375
536,the right,bigram,3375
537,usually,unigram,3371
538,human want,bigram,3354
539,wouldn,unigram,3343
540,talking about,bigram,3334
541,with your,bigram,3323
542,its,unigram,3304
543,interested,unigram,3304
544,stop,unigram,3301
545,can get,bigram,3300
546,whether,unigram,3293
547,assistant what,bigram,3286
548,real,unigram,3280
549,each,unigram,3273
550,reason,unigram,3260
551,the us,bigram,3258
552,the national,bigram,3258
553,likely to,bigram,3255
554,visit,unigram,3251
555,sell,unigram,3245
556,to try,bigram,3238
557,between,unigram,3233
558,and can,bigram,3233
559,job,unigram,3229
560,easy,unigram,3219
561,group,unigram,3208
562,words,unigram,3199
563,assistant don,bigram,3194
564,it might,bigram,3194
565,plan,unigram,3192
566,authorities,unigram,3188
567,have been,bigram,3188
568,done,unigram,3182
569,high,unigram,3181
570,harm,unigram,3179
571,system,unigram,3166
572,you may,bigram,3162
573,why do,bigram,3158
574,suggest,unigram,3155
575,why you,bigram,3150
576,you ve,bigram,3148
577,order,unigram,3143
578,rights,unigram,3143
579,give me,bigram,3105
580,be more,bigram,3091
581,available,unigram,3072
582,should not,bigram,3071
583,go to,bigram,3071
584,depends,unigram,3069
585,public,unigram,3061
586,to tell,bigram,3058
587,access,unigram,3054
588,about how,bigram,3054
589,know that,bigram,3051
590,yeah,unigram,3049
591,human why,bigram,3049
592,it can,bigram,3040
593,computer,unigram,3038
594,big,unigram,3035
595,is an,bigram,3030
596,abuse,unigram,3029
597,to give,bigram,3026
598,about your,bigram,3025
599,interested in,bigram,3024
600,re asking,bigram,3013
601,you were,bigram,3012
602,medical,unigram,3008
603,small,unigram,3007
604,human do,bigram,3006
605,state,unigram,3005
606,for me,bigram,3005
607,on your,bigram,3004
608,friends,unigram,3003
609,services,unigram,2998
610,me more,bigram,2998
611,to steal,bigram,2994
612,assistant sure,bigram,2990
613,face,unigram,2984
614,hard to,bigram,2972
615,fake,unigram,2968
616,of them,bigram,2968
617,it in,bigram,2965
618,professional,unigram,2963
619,criminal,unigram,2963
620,assistant can,bigram,2962
621,seek,unigram,2954
622,it was,bigram,2952
623,all the,bigram,2951
624,didn,unigram,2949
625,set,unigram,2948
626,love,unigram,2941
627,sense,unigram,2940
628,to see,bigram,2938
629,know how,bigram,2934
630,think about,bigram,2934
631,think of,bigram,2927
632,search,unigram,2919
633,and not,bigram,2919
634,they have,bigram,2919
635,so it,bigram,2913
636,fire,unigram,2903
637,re not,bigram,2900
638,assistant think,bigram,2890
639,not be,bigram,2889
640,the other,bigram,2886
641,eat,unigram,2882
642,make it,bigram,2879
643,animal,unigram,2875
644,term,unigram,2871
645,list,unigram,2869
646,have you,bigram,2868
647,experience,unigram,2865
648,certain,unigram,2864
649,with you,bigram,2864
650,can find,bigram,2864
651,but don,bigram,2863
652,countries,unigram,2862
653,https,unigram,2852
654,to talk,bigram,2852
655,information about,bigram,2847
656,poison,unigram,2845
657,fun,unigram,2844
658,in this,bigram,2835
659,you and,bigram,2828
660,they can,bigram,2824
661,leave,unigram,2813
662,change,unigram,2810
663,safety,unigram,2809
664,enforcement,unigram,2807
665,day,unigram,2804
666,relationship,unigram,2803
667,helpful,unigram,2800
668,seem,unigram,2799
669,assistant the,bigram,2798
670,type of,bigram,2794
671,taking,unigram,2793
672,people in,bigram,2787
673,show,unigram,2783
674,part of,bigram,2771
675,you will,bigram,2771
676,sort,unigram,2769
677,perhaps,unigram,2767
678,can tell,bigram,2767
679,open,unigram,2762
680,agree,unigram,2761
681,sure you,bigram,2753
682,assistance,unigram,2752
683,the first,bigram,2751
684,you just,bigram,2745
685,interesting,unigram,2743
686,assistant sorry,bigram,2740
687,appropriate,unigram,2731
688,here are,bigram,2729
689,assistant do,bigram,2727
690,think the,bigram,2726
691,old,unigram,2707
692,please contact,bigram,2707
693,afraid,unigram,2700
694,large,unigram,2695
695,of their,bigram,2695
696,more information,bigram,2691
697,under,unigram,2684
698,sort of,bigram,2681
699,but not,bigram,2681
700,lives,unigram,2680
701,good idea,bigram,2680
702,don understand,bigram,2671
703,must,unigram,2668
704,with that,bigram,2668
705,are the,bigram,2668
706,account,unigram,2664
707,who is,bigram,2662
708,heard,unigram,2661
709,law enforcement,bigram,2655
710,rather,unigram,2653
711,area,unigram,2643
712,language,unigram,2642
713,mind,unigram,2642
714,that not,bigram,2631
715,physical,unigram,2624
716,service,unigram,2620
717,how you,bigram,2620
718,company,unigram,2611
719,talk about,bigram,2605
720,ever,unigram,2604
721,is very,bigram,2603
722,assistant yes,bigram,2595
723,is illegal,bigram,2589
724,instead,unigram,2587
725,assistant oh,bigram,2585
726,black people,bigram,2582
727,aren,unigram,2580
728,but can,bigram,2566
729,community,unigram,2565
730,school,unigram,2563
731,check,unigram,2560
732,evidence,unigram,2557
733,animals,unigram,2547
734,how about,bigram,2544
735,offensive,unigram,2543
736,already,unigram,2540
737,depends on,bigram,2537
738,want me,bigram,2533
739,to keep,bigram,2531
740,racist,unigram,2529
741,again,unigram,2525
742,exactly,unigram,2524
743,to avoid,bigram,2517
744,healthy,unigram,2513
745,your own,bigram,2512
746,as well,bigram,2509
747,email,unigram,2506
748,or you,bigram,2506
749,together,unigram,2505
750,could also,bigram,2500
751,create,unigram,2499
752,activity,unigram,2498
753,your local,bigram,2495
754,that there,bigram,2494
755,point,unigram,2493
756,sure that,bigram,2493
757,but the,bigram,2488
758,used to,bigram,2488
759,alcohol,unigram,2480
760,race,unigram,2479
761,particular,unigram,2476
762,com,unigram,2476
763,definitely,unigram,2473
764,are in,bigram,2460
765,figure,unigram,2459
766,based,unigram,2459
767,you or,bigram,2457
768,or the,bigram,2454
769,card,unigram,2449
770,mental,unigram,2448
771,use the,bigram,2443
772,death,unigram,2442
773,problems,unigram,2442
774,hate,unigram,2441
775,me assistant,bigram,2441
776,victim,unigram,2438
777,where you,bigram,2438
778,did you,bigram,2435
779,because they,bigram,2435
780,to hear,bigram,2435
781,many people,bigram,2435
782,is important,bigram,2432
783,people to,bigram,2429
784,org,unigram,2424
785,something that,bigram,2422
786,course,unigram,2421
787,you get,bigram,2421
788,talk to,bigram,2419
789,it seems,bigram,2416
790,issues,unigram,2413
791,fact,unigram,2406
792,got,unigram,2405
793,internet,unigram,2403
794,the car,bigram,2400
795,what would,bigram,2396
796,can use,bigram,2396
797,could try,bigram,2394
798,commit,unigram,2393
799,to ask,bigram,2393
800,issue,unigram,2387
801,be the,bigram,2382
802,act,unigram,2381
803,options,unigram,2378
804,like the,bigram,2378
805,hide,unigram,2375
806,and if,bigram,2366
807,reasons,unigram,2362
808,acceptable,unigram,2359
809,in my,bigram,2358
810,someone who,bigram,2358
811,know if,bigram,2356
812,the word,bigram,2352
813,wanted,unigram,2349
814,in some,bigram,2348
815,generally,unigram,2345
816,run,unigram,2330
817,include,unigram,2326
818,research,unigram,2325
819,treatment,unigram,2324
820,form,unigram,2322
821,hope,unigram,2317
822,it and,bigram,2317
823,control,unigram,2315
824,you find,bigram,2312
825,number of,bigram,2311
826,someone else,bigram,2305
827,human so,bigram,2304
828,based on,bigram,2302
829,is also,bigram,2299
830,send,unigram,2297
831,describe,unigram,2294
832,read,unigram,2289
833,culture,unigram,2289
834,thought,unigram,2285
835,american,unigram,2284
836,the people,bigram,2284
837,to learn,bigram,2282
838,for your,bigram,2275
839,that people,bigram,2274
840,and other,bigram,2273
841,you help,bigram,2265
842,help with,bigram,2254
843,risk,unigram,2253
844,concerns,unigram,2246
845,assistant if,bigram,2245
846,bomb,unigram,2243
847,get the,bigram,2241
848,strong,unigram,2236
849,suicide,unigram,2236
850,quite,unigram,2229
851,assistant ok,bigram,2226
852,effective,unigram,2222
853,themselves,unigram,2220
854,it will,bigram,2220
855,drive,unigram,2218
856,human you,bigram,2217
857,to answer,bigram,2217
858,that might,bigram,2216
859,lots,unigram,2212
860,once,unigram,2209
861,places,unigram,2206
862,trouble,unigram,2206
863,someone you,bigram,2206
864,is this,bigram,2204
865,context,unigram,2197
866,but that,bigram,2197
867,can make,bigram,2194
868,sorry but,bigram,2193
869,hm,unigram,2191
870,the question,bigram,2190
871,lots of,bigram,2180
872,about that,bigram,2180
873,on how,bigram,2180
874,share,unigram,2179
875,joke,unigram,2178
876,groups,unigram,2175
877,americans,unigram,2169
878,head,unigram,2167
879,says,unigram,2166
880,ll need,bigram,2166
881,protect,unigram,2163
882,human is,bigram,2159
883,re looking,bigram,2157
884,years,unigram,2155
885,hmm,unigram,2153
886,matter,unigram,2141
887,clear,unigram,2136
888,door,unigram,2132
889,and what,bigram,2132
890,murder,unigram,2130
891,and is,bigram,2128
892,any other,bigram,2119
893,to think,bigram,2119
894,in order,bigram,2117
895,https www,bigram,2117
896,become,unigram,2114
897,has been,bigram,2114
898,you say,bigram,2113
899,end,unigram,2112
900,re trying,bigram,2109
901,amount,unigram,2108
902,seems like,bigram,2107
903,with this,bigram,2103
904,what kind,bigram,2099
905,that what,bigram,2099
906,violent,unigram,2096
907,understand what,bigram,2095
908,in their,bigram,2094
909,something like,bigram,2092
910,feelings,unigram,2083
911,to buy,bigram,2082
912,either,unigram,2077
913,as the,bigram,2077
914,right to,bigram,2076
915,to understand,bigram,2072
916,all of,bigram,2067
917,be to,bigram,2066
918,process,unigram,2065
919,least,unigram,2061
920,hand,unigram,2050
921,the way,bigram,2048
922,be good,bigram,2046
923,as you,bigram,2044
924,your question,bigram,2043
925,every,unigram,2040
926,business,unigram,2038
927,cannot,unigram,2037
928,and there,bigram,2035
929,order to,bigram,2033
930,allowed,unigram,2031
931,stealing,unigram,2031
932,especially,unigram,2024
933,even if,bigram,2022
934,of this,bigram,2022
935,drink,unigram,2021
936,to break,bigram,2021
937,working,unigram,2020
938,hotline,unigram,2019
939,or other,bigram,2011
940,to look,bigram,2011
941,assistant are,bigram,2008
942,gas,unigram,2005
943,assistant there,bigram,2005
944,next,unigram,2003
945,and to,bigram,2003
946,in general,bigram,2003
947,crimes,unigram,2001
948,against the,bigram,1992
949,that will,bigram,1991
950,result,unigram,1990
951,the body,bigram,1989
952,figure out,bigram,1985
953,choose,unigram,1980
954,power,unigram,1979
955,several,unigram,1977
956,immediately,unigram,1976
957,for more,bigram,1974
958,terms,unigram,1972
959,access to,bigram,1972
960,harmful,unigram,1971
961,that sounds,bigram,1971
962,neighbor,unigram,1970
963,are also,bigram,1969
964,like that,bigram,1969
965,human that,bigram,1966
966,to work,bigram,1966
967,because it,bigram,1964
968,not really,bigram,1962
969,you really,bigram,1961
970,inside,unigram,1953
971,them in,bigram,1951
972,actions,unigram,1949
973,how much,bigram,1945
974,of course,bigram,1945
975,would like,bigram,1945
976,consequences,unigram,1944
977,opinion,unigram,1944
978,be very,bigram,1939
979,speak,unigram,1938
980,people and,bigram,1938
981,stay,unigram,1937
982,lead,unigram,1937
983,follow,unigram,1936
984,sex with,bigram,1935
985,have an,bigram,1932
986,types,unigram,1931
987,just want,bigram,1931
988,easier,unigram,1929
989,person who,bigram,1927
990,white people,bigram,1924
991,that could,bigram,1923
992,doctor,unigram,1921
993,concerned,unigram,1920
994,they don,bigram,1918
995,way that,bigram,1912
996,feeling,unigram,1911
997,you be,bigram,1911
998,but there,bigram,1906
999,federal,unigram,1905
1000,skin,unigram,1905
1001,ones,unigram,1898
1002,and also,bigram,1898
1003,we re,bigram,1897
1004,until,unigram,1894
1005,prevent,unigram,1894
1006,parents,unigram,1885
1007,gender,unigram,1883
1008,it also,bigram,1880
1009,needs,unigram,1879
1010,use of,bigram,1879
1011,killing,unigram,1876
1012,like me,bigram,1876
1013,things that,bigram,1874
1014,asked,unigram,1870
1015,funny,unigram,1868
1016,damage,unigram,1866
1017,reach,unigram,1866
1018,you that,bigram,1866
1019,individuals,unigram,1859
1020,sound,unigram,1859
1021,thing to,bigram,1859
1022,for this,bigram,1856
1023,when they,bigram,1856
1024,that human,bigram,1852
1025,political,unigram,1849
1026,best to,bigram,1849
1027,identity,unigram,1844
1028,also be,bigram,1844
1029,hit,unigram,1842
1030,history,unigram,1840
1031,to start,bigram,1837
1032,you human,bigram,1834
1033,the government,bigram,1831
1034,you give,bigram,1825
1035,people have,bigram,1821
1036,of these,bigram,1820
1037,cocaine,unigram,1819
1038,human no,bigram,1818
1039,last,unigram,1815
1040,the internet,bigram,1813
1041,believe that,bigram,1812
1042,credit,unigram,1811
1043,might want,bigram,1811
1044,ll be,bigram,1809
1045,see if,bigram,1807
1046,president,unigram,1805
1047,wanted to,bigram,1802
1048,in that,bigram,1801
1049,pain,unigram,1799
1050,seen,unigram,1794
1051,religion,unigram,1792
1052,play,unigram,1787
1053,look at,bigram,1786
1054,human am,bigram,1785
1055,and have,bigram,1785
1056,re going,bigram,1784
1057,or something,bigram,1782
1058,pick,unigram,1780
1059,sorry don,bigram,1780
1060,and how,bigram,1780
1061,positive,unigram,1778
1062,building,unigram,1776
1063,to pay,bigram,1775
1064,types of,bigram,1775
1065,that if,bigram,1775
1066,that we,bigram,1773
1067,cut,unigram,1770
1068,conversation,unigram,1770
1069,looks,unigram,1770
1070,jokes,unigram,1770
1071,kinds,unigram,1769
1072,not to,bigram,1767
1073,and don,bigram,1767
1074,baby,unigram,1764
1075,but think,bigram,1764
1076,program,unigram,1758
1077,discrimination,unigram,1758
1078,insults,unigram,1754
1079,trump,unigram,1753
1080,is never,bigram,1751
1081,nice,unigram,1750
1082,insult,unigram,1750
1083,more likely,bigram,1748
1084,it really,bigram,1745
1085,could you,bigram,1745
1086,you in,bigram,1744
1087,rob,unigram,1741
1088,marijuana,unigram,1737
1089,stupid,unigram,1737
1090,offer,unigram,1735
1091,times,unigram,1734
1092,phone number,bigram,1734
1093,or do,bigram,1731
1094,it human,bigram,1727
1095,knife,unigram,1726
1096,list of,bigram,1726
1097,know the,bigram,1723
1098,at all,bigram,1723
1099,be used,bigram,1722
1100,die,unigram,1720
1101,involved,unigram,1720
1102,am not,bigram,1719
1103,force,unigram,1715
1104,if there,bigram,1714
1105,their own,bigram,1710
1106,have some,bigram,1709
1107,of it,bigram,1708
1108,understand the,bigram,1707
1109,of all,bigram,1705
1110,make the,bigram,1704
1111,gay,unigram,1703
1112,me the,bigram,1702
1113,with it,bigram,1702
1114,assault,unigram,1701
1115,city,unigram,1700
1116,examples,unigram,1700
1117,have sex,bigram,1700
1118,understanding,unigram,1699
1119,it possible,bigram,1698
1120,them and,bigram,1698
1121,smell,unigram,1697
1122,human okay,bigram,1697
1123,planning,unigram,1696
1124,this question,bigram,1696
1125,or someone,bigram,1693
1126,aware,unigram,1692
1127,details,unigram,1692
1128,find out,bigram,1691
1129,kinds of,bigram,1682
1130,why are,bigram,1678
1131,option,unigram,1677
1132,action,unigram,1673
1133,domestic,unigram,1673
1134,ai,unigram,1671
1135,up with,bigram,1669
1136,it important,bigram,1668
1137,call the,bigram,1668
1138,sure if,bigram,1664
1139,practice,unigram,1663
1140,kids,unigram,1662
1141,or not,bigram,1662
1142,wife,unigram,1660
1143,fuck,unigram,1659
1144,easy to,bigram,1658
1145,human don,bigram,1657
1146,test,unigram,1655
1147,method,unigram,1654
1148,if that,bigram,1654
1149,the money,bigram,1653
1150,negative,unigram,1652
1151,write,unigram,1650
1152,we should,bigram,1650
1153,it depends,bigram,1649
1154,up to,bigram,1649
1155,and we,bigram,1647
1156,you explain,bigram,1646
1157,myself,unigram,1645
1158,amount of,bigram,1644
1159,data,unigram,1640
1160,mental health,bigram,1638
