episode_id,term,type,hh_rank,hh_count,episode_occurrences,line_numbers
eb05,do you,bigram,49,33690,1,207
eb05,should,unigram,51,32503,1,231
eb05,know,unigram,52,32362,6,"219,231,235,254"
eb05,from,unigram,54,31368,8,"59,196,229,243,252,287,360"
eb05,also,unigram,55,30039,1,185
eb05,just,unigram,56,29910,5,"118,207,267,269,271"
eb05,in the,bigram,57,29823,8,"20,75,90,109,177,209,250"
eb05,you can,bigram,58,29712,1,269
eb05,of the,bigram,59,28767,4,"90,177,250,265"
eb05,by,unigram,60,28716,4,"177,181,213,311"
eb05,their,unigram,61,28619,2,"273,355"
eb05,at,unigram,62,28119,9,"20,22,46,66,90,187,200,205,273"
eb05,sure,unigram,63,27014,1,64
eb05,who,unigram,64,26800,2,"235,355"
eb05,my,unigram,65,26757,4,"46,153,185,238"
eb05,make,unigram,66,26510,1,211
eb05,other,unigram,68,25190,1,311
eb05,you want,bigram,69,24964,1,46
eb05,will,unigram,70,24604,7,"54,62,219,235,254,288,345"
eb05,way,unigram,72,23954,1,73
eb05,to be,bigram,73,23911,6,"46,54,68,187,235,250"
eb05,we,unigram,74,23888,2,207
eb05,any,unigram,75,23558,1,211
eb05,need,unigram,77,22831,1,48
eb05,really,unigram,78,22386,1,271
eb05,one,unigram,79,21619,2,"40,66"
eb05,good,unigram,80,21017,1,271
eb05,then,unigram,82,20919,5,"54,109,116,217,260"
eb05,all,unigram,84,20394,6,"132,156,231,238,242"
eb05,was,unigram,89,18579,24,"54,59,75,85,90,96,98,177,181,185,189,194,200,205,215,229,265,326,329,330,351"
eb05,why,unigram,91,17472,5,"179,231,267,271,285"
eb05,it is,bigram,94,17263,5,"44,50,52,360"
eb05,something,unigram,95,17258,1,46
eb05,up,unigram,98,17003,2,"172,177"
eb05,find,unigram,100,16912,3,"177,187,213"
eb05,no,unigram,101,16852,4,"135,211,354"
eb05,well,unigram,103,16503,1,181
eb05,when,unigram,104,16141,2,"46,73"
eb05,he,unigram,105,16093,36,"48,66,68,77,85,90,100,118,172,177,181,183,185,196,207,211,213,229,231,233,339,340"
eb05,her,unigram,107,15942,20,"20,52,59,64,66,68,94,98,140,145,196,205,209,213,217,260,339"
eb05,can you,bigram,109,15606,1,269
eb05,to the,bigram,111,15481,2,"85,94"
eb05,you are,bigram,113,15213,2,"40,196"
eb05,has,unigram,114,15057,2,"336,348"
eb05,because,unigram,116,14728,1,326
eb05,question,unigram,117,14633,1,209
eb05,into,unigram,118,14586,5,"40,187,225,231,273"
eb05,are you,bigram,119,14395,2,"64,179"
eb05,need to,bigram,121,13767,1,48
eb05,please,unigram,122,13657,1,211
eb05,on the,bigram,124,13529,2,"59,90"
eb05,see,unigram,129,12976,1,15
eb05,here,unigram,130,12949,1,250
eb05,than,unigram,131,12822,4,"52,75,258,340"
eb05,where,unigram,138,11800,1,22
eb05,understand,unigram,139,11781,3,"50,167,343"
eb05,being,unigram,142,11534,2,"311,340"
eb05,yes,unigram,144,11435,2,"42,235"
eb05,feel,unigram,147,11364,2,"77,339"
eb05,you think,bigram,150,11154,1,207
eb05,she,unigram,153,11017,33,"20,22,24,42,46,64,68,73,85,90,92,94,96,98,115,116,177,179,187,189,194,260"
eb05,different,unigram,158,10575,1,273
eb05,let,unigram,160,10454,2,"153,323"
eb05,time,unigram,161,10418,3,"66,68,85"
eb05,this is,bigram,162,10325,5,"34,167,316,317"
eb05,his,unigram,163,10253,22,"40,48,52,54,73,75,85,94,98,100,172,183,185,194,205,211,213,225,229,231"
eb05,am,unigram,164,10252,3,"20,90,116"
eb05,were,unigram,165,10094,4,"73,200,207,209"
eb05,law,unigram,169,9653,1,211
eb05,him,unigram,171,9425,15,"94,96,98,116,177,187,189,252"
eb05,been,unigram,173,9288,1,235
eb05,and the,bigram,174,9163,1,213
eb05,look,unigram,188,8523,1,96
eb05,much,unigram,192,8369,3,"223,235,256"
eb05,first,unigram,194,8334,3,"68,211,250"
eb05,only,unigram,196,8257,1,52
eb05,for the,bigram,200,8126,4,"68,213,275,339"
eb05,without,unigram,203,8077,2,"211,302"
eb05,asking,unigram,208,7824,2,46
eb05,better,unigram,211,7768,1,258
eb05,you to,bigram,212,7754,1,54
eb05,and you,bigram,216,7585,1,231
eb05,with the,bigram,217,7484,1,94
eb05,they are,bigram,222,7386,1,303
eb05,to have,bigram,227,7317,1,213
eb05,okay,unigram,232,7182,1,54
eb05,sex,unigram,233,7180,2,"329,351"
eb05,answer,unigram,241,6856,1,211
eb05,against,unigram,242,6835,4,"90,98,194,233"
eb05,did,unigram,243,6825,3,"48,285,339"
eb05,those,unigram,244,6715,1,323
eb05,and then,bigram,245,6678,1,260
eb05,is to,bigram,248,6627,1,187
eb05,is not,bigram,253,6526,2,"34,316"
eb05,put,unigram,257,6453,1,177
eb05,never,unigram,260,6394,4,"209,219,254,269"
eb05,black,unigram,264,6361,1,177
eb05,but it,bigram,270,6221,1,235
eb05,own,unigram,272,6217,1,317
eb05,us,unigram,276,6158,1,40
eb05,specific,unigram,277,6154,2,"92,213"
eb05,too,unigram,278,6137,1,181
eb05,from the,bigram,279,6128,4,"59,252,360"
eb05,since,unigram,280,6081,1,231
eb05,body,unigram,281,6076,2,"52,59"
eb05,through,unigram,285,5976,1,66
eb05,local,unigram,286,5967,2,"85,278"
eb05,anything,unigram,289,5949,1,235
eb05,call,unigram,290,5925,2,"265,267"
eb05,now,unigram,302,5723,5,"22,167,213,243,342"
eb05,over,unigram,304,5661,2,"64,85"
eb05,to find,bigram,305,5635,2,"177,187"
eb05,world,unigram,307,5605,1,157
eb05,had,unigram,323,5315,16,"22,92,177,181,187,205,211,213,235,273"
eb05,to know,bigram,332,5200,2,231
eb05,life,unigram,333,5189,1,52
eb05,back,unigram,340,5044,4,"177,231,265,267"
eb05,having,unigram,343,4977,1,172
eb05,that would,bigram,346,4926,1,209
eb05,cause,unigram,356,4823,2,"340,354"
eb05,always,unigram,358,4816,1,235
eb05,still,unigram,362,4787,1,252
eb05,same,unigram,365,4733,2,"200,273"
eb05,at the,bigram,370,4704,2,"22,200"
eb05,down,unigram,371,4654,6,"98,157,229,275,333"
eb05,before,unigram,380,4558,1,85
eb05,the same,bigram,382,4499,2,"200,273"
eb05,will be,bigram,384,4473,2,"62,345"
eb05,new,unigram,394,4351,4,"24,90,109,165"
eb05,do not,bigram,411,4231,3,"187,211,359"
eb05,name,unigram,419,4114,2,"46,211"
eb05,that can,bigram,420,4110,3,"46,52"
eb05,two,unigram,422,4089,5,"22,200,273,359"
eb05,the world,bigram,425,4080,1,157
eb05,but you,bigram,428,4070,1,269
eb05,said,unigram,434,4056,5,"40,42,48,66,194"
eb05,bit,unigram,439,4028,1,145
eb05,resources,unigram,451,3992,1,156
eb05,are not,bigram,455,3934,1,303
eb05,report,unigram,456,3929,1,185
eb05,if the,bigram,458,3925,1,14
eb05,part,unigram,473,3778,2,"2,7"
eb05,found,unigram,493,3608,2,"177,273"
eb05,you with,bigram,498,3545,1,238
eb05,enough,unigram,501,3531,2,"68,351"
eb05,by the,bigram,503,3514,2,"177,311"
eb05,true,unigram,507,3491,2,"128,130"
eb05,into the,bigram,518,3448,1,187
eb05,water,unigram,520,3438,1,250
eb05,one of,bigram,531,3387,1,40
eb05,sometimes,unigram,533,3376,1,359
eb05,wouldn,unigram,539,3343,1,271
eb05,its,unigram,542,3304,3,"73,317,340"
eb05,stop,unigram,544,3301,1,306
eb05,real,unigram,548,3280,2,"68,351"
eb05,reason,unigram,550,3260,2,"348,354"
eb05,words,unigram,562,3199,1,273
eb05,high,unigram,569,3181,1,299
eb05,system,unigram,571,3166,7,"11,12,14,80,170,246,317"
eb05,access,unigram,587,3054,1,85
eb05,know that,bigram,589,3051,1,231
eb05,medical,unigram,602,3008,1,20
eb05,small,unigram,603,3007,1,265
eb05,state,unigram,605,3005,3,"12,145,288"
eb05,for me,bigram,606,3005,1,351
eb05,face,unigram,613,2984,3,"73,185,229"
eb05,it in,bigram,617,2965,1,177
eb05,it was,bigram,622,2952,4,"96,200,265"
eb05,didn,unigram,624,2949,7,"48,68,94,118,172,183"
eb05,love,unigram,626,2941,5,"231,243,286,320,340"
eb05,know how,bigram,629,2934,1,235
eb05,the other,bigram,640,2886,1,311
eb05,with you,bigram,649,2864,1,235
eb05,you and,bigram,659,2828,1,231
eb05,leave,unigram,661,2813,1,211
eb05,safety,unigram,663,2809,4,"100,109,172,305"
eb05,you will,bigram,675,2771,2,"219,254"
eb05,perhaps,unigram,677,2767,1,217
eb05,open,unigram,679,2762,1,185
eb05,the first,bigram,683,2751,2,"68,250"
eb05,you just,bigram,684,2745,2,"267,271"
eb05,old,unigram,691,2707,1,177
eb05,must,unigram,703,2668,3,"14,116,330"
eb05,rather,unigram,710,2653,3,"52,75,340"
eb05,ever,unigram,720,2604,1,235
eb05,check,unigram,731,2560,2,"48,130"
eb05,already,unigram,736,2540,1,348
eb05,again,unigram,741,2525,1,196
eb05,exactly,unigram,742,2524,1,273
eb05,create,unigram,751,2499,1,288
eb05,point,unigram,755,2493,2,"85,242"
eb05,but the,bigram,757,2488,1,340
eb05,death,unigram,772,2442,1,15
eb05,something that,bigram,785,2422,1,46
eb05,course,unigram,786,2421,1,231
eb05,got,unigram,792,2405,1,355
eb05,wanted,unigram,813,2349,2,"68,231"
eb05,run,unigram,816,2330,2,"48,94"
eb05,control,unigram,823,2315,1,140
eb05,read,unigram,832,2289,1,20
eb05,thought,unigram,834,2285,1,355
eb05,drive,unigram,855,2218,1,85
eb05,once,unigram,860,2209,1,271
eb05,context,unigram,865,2197,1,115
eb05,the question,bigram,870,2190,1,209
eb05,matter,unigram,886,2141,1,330
eb05,become,unigram,896,2114,1,258
eb05,end,unigram,899,2112,3,"68,332,358"
eb05,understand what,bigram,907,2095,1,167
eb05,process,unigram,918,2065,7,"62,121,163,209,320,353"
eb05,hand,unigram,920,2050,3,"46,64,194"
eb05,every,unigram,925,2040,1,85
eb05,cannot,unigram,927,2037,2,"14,348"
eb05,against the,bigram,948,1992,2,"90,233"
eb05,the body,bigram,951,1989,1,59
eb05,choose,unigram,953,1980,2,"285,355"
eb05,inside,unigram,970,1953,1,360
eb05,how much,bigram,973,1945,3,"223,235,256"
eb05,of course,bigram,974,1945,1,231
eb05,that could,bigram,991,1923,1,339
eb05,way that,bigram,995,1912,1,73
eb05,feeling,unigram,996,1911,1,211
eb05,skin,unigram,1000,1905,1,73
eb05,ones,unigram,1001,1898,1,355
eb05,asked,unigram,1014,1870,3,"64,179,207"
eb05,sound,unigram,1020,1859,1,260
eb05,for this,bigram,1022,1856,1,194
eb05,identity,unigram,1027,1844,1,116
eb05,hit,unigram,1029,1842,4,"92,94,213,265"
eb05,last,unigram,1039,1815,1,66
eb05,wanted to,bigram,1047,1802,2,"68,231"
eb05,in that,bigram,1048,1801,2,"92,187"
eb05,pain,unigram,1049,1799,1,161
eb05,baby,unigram,1074,1764,3,"66,75,351"
eb05,offer,unigram,1090,1735,1,205
eb05,times,unigram,1091,1734,1,85
eb05,die,unigram,1100,1720,1,339
eb05,understand the,bigram,1108,1707,1,50
eb05,understanding,unigram,1118,1699,2,"344,345"
eb05,why are,bigram,1130,1678,1,179
eb05,action,unigram,1132,1673,4,"107,130,145,287"
eb05,fuck,unigram,1143,1659,2,"211,271"
eb05,up to,bigram,1154,1649,2,"172,177"
eb05,data,unigram,1159,1640,5,"52,85,161,286,330"
eb05,happen,unigram,1165,1628,1,217
eb05,room,unigram,1174,1615,4,"20,225,265,275"
eb05,rather than,bigram,1182,1605,2,"75,340"
eb05,don you,bigram,1204,1579,1,267
eb05,told,unigram,1212,1566,1,177
eb05,remember,unigram,1217,1561,1,46
eb05,look like,bigram,1224,1554,1,96
eb05,wear,unigram,1232,1544,1,177
eb05,they were,bigram,1247,1516,1,200
eb05,breaking,unigram,1249,1512,1,231
eb05,outside,unigram,1262,1488,1,360
eb05,prison,unigram,1264,1486,1,50
eb05,dead,unigram,1266,1481,2,"22,94"
eb05,target,unigram,1267,1481,1,144
eb05,through the,bigram,1271,1477,1,66
eb05,web,unigram,1272,1473,1,59
eb05,watch,unigram,1286,1453,1,52
eb05,known,unigram,1306,1437,1,231
eb05,key,unigram,1318,1432,1,64
eb05,it the,bigram,1326,1418,1,132
eb05,blood,unigram,1339,1404,1,153
eb05,hold,unigram,1342,1401,1,46
eb05,choice,unigram,1346,1398,1,250
eb05,not the,bigram,1353,1388,2,"326,329"
eb05,over the,bigram,1368,1378,1,64
eb05,you sure,bigram,1376,1370,1,64
eb05,game,unigram,1378,1368,1,250
eb05,god,unigram,1397,1343,1,211
eb05,with me,bigram,1416,1322,1,46
eb05,night,unigram,1418,1320,1,181
eb05,we have,bigram,1451,1293,1,207
eb05,hands,unigram,1460,1281,1,94
eb05,feel that,bigram,1466,1273,1,339
eb05,in way,bigram,1479,1266,1,73
eb05,allow,unigram,1487,1254,1,14
eb05,he was,bigram,1509,1237,3,"90,177,229"
eb05,why don,bigram,1511,1237,1,267
eb05,of that,bigram,1540,1222,2,"85,181"
eb05,enough to,bigram,1548,1218,1,68
eb05,than the,bigram,1569,1204,1,75
eb05,complex,unigram,1579,1198,1,200
eb05,attention,unigram,1589,1190,1,153
eb05,three,unigram,1590,1190,2,"85,177"
eb05,dark,unigram,1591,1190,1,59
eb05,special,unigram,1605,1178,2,"10,358"
eb05,started,unigram,1613,1174,1,213
eb05,where the,bigram,1618,1170,1,22
eb05,happened,unigram,1621,1168,1,90
eb05,weight,unigram,1624,1167,2,"90,94"
eb05,and in,bigram,1625,1167,1,187
eb05,low,unigram,1642,1152,1,92
eb05,fair,unigram,1646,1150,1,198
eb05,left,unigram,1669,1136,2,"185,215"
eb05,simply,unigram,1686,1126,1,172
eb05,light,unigram,1688,1125,1,92
eb05,terrible,unigram,1709,1112,1,77
eb05,machine,unigram,1716,1109,2,22
eb05,of an,bigram,1721,1108,1,205
eb05,code,unigram,1730,1103,1,189
eb05,to this,bigram,1756,1086,1,157
eb05,that she,bigram,1760,1084,1,179
eb05,later,unigram,1777,1074,1,177
eb05,heart,unigram,1796,1065,1,211
eb05,solution,unigram,1799,1063,1,229
eb05,days,unigram,1807,1058,1,177
eb05,completely,unigram,1823,1048,1,273
eb05,calling,unigram,1849,1034,1,196
eb05,eyes,unigram,1860,1028,2,"73,209"
eb05,she is,bigram,1867,1024,1,115
eb05,asking for,bigram,1876,1020,1,46
eb05,actual,unigram,1921,995,1,229
eb05,single,unigram,1942,986,2,"157,242"
eb05,that all,bigram,1943,986,2,231
eb05,everything,unigram,1948,983,2,"213,360"
eb05,source,unigram,1949,983,1,62
eb05,him to,bigram,1955,982,2,"177,187"
eb05,if she,bigram,1956,982,1,116
eb05,window,unigram,1969,977,2,"177,185"
eb05,policy,unigram,1976,975,1,106
eb05,air,unigram,1996,964,2,"75,209"
eb05,camera,unigram,2018,954,1,66
eb05,think we,bigram,2033,947,1,207
eb05,supposed,unigram,2041,944,1,213
eb05,must be,bigram,2055,939,1,330
eb05,me that,bigram,2062,937,1,231
eb05,you ever,bigram,2073,933,1,235
eb05,but in,bigram,2079,931,2,"250,273"
eb05,file,unigram,2088,927,1,24
eb05,supposed to,bigram,2090,927,1,213
eb05,because the,bigram,2097,924,1,326
eb05,then the,bigram,2098,924,1,109
eb05,of being,bigram,2104,921,1,340
eb05,wearing,unigram,2121,910,2,"177,179"
eb05,wasn,unigram,2174,888,5,"52,96,194,213,265"
eb05,cameras,unigram,2177,885,1,73
eb05,as they,bigram,2233,865,1,194
eb05,space,unigram,2290,842,1,92
eb05,want you,bigram,2317,829,1,54
eb05,put it,bigram,2364,813,1,177
eb05,false,unigram,2366,811,1,128
eb05,lose,unigram,2367,811,2,44
eb05,this will,bigram,2374,809,1,288
eb05,strategy,unigram,2380,807,1,92
eb05,good for,bigram,2427,791,1,271
eb05,movement,unigram,2431,790,1,181
eb05,class,unigram,2443,786,2,"24,27"
eb05,product,unigram,2451,784,1,340
eb05,return,unigram,2468,777,1,116
eb05,came,unigram,2480,774,1,252
eb05,feels,unigram,2503,769,1,116
eb05,systems,unigram,2539,759,1,200
eb05,needed,unigram,2541,759,3,"22,231"
eb05,bodies,unigram,2554,754,1,273
eb05,you look,bigram,2570,751,1,96
eb05,was the,bigram,2592,742,1,326
eb05,consent,unigram,2606,736,1,130
eb05,meaning,unigram,2607,736,1,326
eb05,pressure,unigram,2608,736,2,"73,155"
eb05,rate,unigram,2615,734,2,"96,200"
eb05,the process,bigram,2618,733,1,320
eb05,taste,unigram,2632,729,1,83
eb05,network,unigram,2651,725,1,75
eb05,you understand,bigram,2667,719,1,50
eb05,training,unigram,2675,716,2,"52,181"
eb05,that one,bigram,2679,716,1,40
eb05,definition,unigram,2699,710,1,319
eb05,wonder,unigram,2710,707,1,77
eb05,touch,unigram,2712,707,1,52
eb05,red,unigram,2726,703,1,100
eb05,reading,unigram,2766,692,1,211
eb05,object,unigram,2769,691,1,213
eb05,to become,bigram,2773,690,1,258
eb05,violation,unigram,2779,689,4,"187,329,330"
eb05,can only,bigram,2897,661,1,52
eb05,for her,bigram,2918,657,1,339
eb05,fighting,unigram,2922,655,1,233
eb05,user,unigram,2950,649,3,"144,300,310"
eb05,moving,unigram,2973,643,1,200
eb05,gain,unigram,2979,642,1,221
eb05,than you,bigram,2982,641,1,258
eb05,in his,bigram,2990,639,2,"52,183"
eb06,you,unigram,1,403907,25,"46,66,74,76,78,82,86,127,133,135,139,394,412,413,414"
eb06,to,unigram,2,403347,35,"17,28,32,46,51,64,66,76,77,82,92,125,135,137,139,157,169,272,280,287,301,308,321,336,339,384,394,412,413,414"
eb06,the,unigram,3,364046,110,"15,19,21,24,28,30,32,34,36,44,46,49,51,53,62,64,66,70,74,75,82,110,117,125,129,133,135,157,159,164,169,171,175,186,197,207,213,246,286,295,297,299,301,308,323,336,344,355,365,374,393,395,396"
eb06,and,unigram,4,241670,16,"32,34,68,77,80,135,171,173,187,192,308,382,410"
eb06,that,unigram,5,195221,6,"2,7,21,32,62,141"
eb06,of,unigram,6,185730,14,"21,32,46,62,66,90,129,133,135,164,175,342"
eb06,it,unigram,7,160779,18,"32,74,77,80,82,84,101,102,103,117,129,141,188,197,374"
eb06,is,unigram,8,155012,6,"62,99,115,342,393,396"
eb06,in,unigram,9,128825,9,"21,32,70,129,164,173,175,273,301"
eb06,are,unigram,12,112077,7,"135,139"
eb06,for,unigram,14,100087,11,"30,40,51,123,129,135,164,299,344"
eb06,be,unigram,15,99040,2,"62,77"
eb06,or,unigram,16,96936,1,273
eb06,do,unigram,17,86308,3,"86,102,103"
eb06,if,unigram,18,83338,3,"97,187,272"
eb06,what,unigram,19,75184,5,"21,73,99,141,164"
eb06,have,unigram,20,72841,4,"68,84,164,287"
eb06,not,unigram,21,71908,16,"21,30,40,44,70,75,86,102,103,110,135,139,188"
eb06,your,unigram,22,69856,5,"59,68,73,74,152"
eb06,with,unigram,23,68882,7,"28,30,46,68,125,405"
eb06,but,unigram,26,61802,5,"32,70,94,139,207"
eb06,this,unigram,27,60911,11,"28,40,46,62,99,100,115,207,274,301,342"
eb06,on,unigram,28,54382,14,"19,44,64,66,70,110,117,297,308,332,344,380,393"
eb06,they,unigram,29,54101,3,135
eb06,would,unigram,30,51911,1,62
eb06,like,unigram,31,50500,3,"28,133,336"
eb06,how,unigram,35,47690,1,301
eb06,me,unigram,36,46753,1,324
eb06,re,unigram,37,44706,1,336
eb06,don,unigram,38,42674,1,74
eb06,there,unigram,41,41799,4,"79,141,207"
eb06,as,unigram,42,39331,3,"117,299"
eb06,could,unigram,43,38454,1,286
eb06,them,unigram,45,38132,2,"51,308"
eb06,an,unigram,46,35937,1,46
eb06,should,unigram,51,32503,2,"84,202"
eb06,know,unigram,52,32362,2,76
eb06,get,unigram,53,32178,2,"90,157"
eb06,from,unigram,54,31368,4,"32,103,125,308"
eb06,just,unigram,56,29910,5,"51,68,303,336,412"
eb06,in the,bigram,57,29823,3,"32,164,175"
eb06,of the,bigram,59,28767,3,"32,129,175"
eb06,by,unigram,60,28716,4,"17,120,380,382"
eb06,their,unigram,61,28619,1,367
eb06,at,unigram,62,28119,7,"21,44,127,171,242,299,367"
eb06,who,unigram,64,26800,4,"115,286,287,412"
eb06,my,unigram,65,26757,4,"274,410,413,414"
eb06,make,unigram,66,26510,2,"28,286"
eb06,someone,unigram,67,26434,1,21
eb06,will,unigram,70,24604,2,"287,395"
eb06,we,unigram,74,23888,2,336
eb06,need,unigram,77,22831,1,46
eb06,really,unigram,78,22386,1,324
eb06,one,unigram,79,21619,2,"301,344"
eb06,then,unigram,82,20919,4,"70,303,308,357"
eb06,out,unigram,83,20563,2,"90,297"
eb06,was,unigram,89,18579,26,"21,30,32,34,40,44,51,64,75,79,80,125,129,141,157,164,188,207,308,344,412"
eb06,why,unigram,91,17472,1,76
eb06,say,unigram,93,17264,2,"273,274"
eb06,something,unigram,95,17258,1,202
eb06,up,unigram,98,17003,2,"92,308"
eb06,very,unigram,99,16952,1,301
eb06,no,unigram,101,16852,4,"28,141,411"
eb06,when,unigram,104,16141,2,"270,271"
eb06,he,unigram,105,16093,34,"19,21,30,34,36,40,44,51,53,64,66,157,164,169,171,175,197,295,297,299,301,303,308,336,344,369"
eb06,her,unigram,107,15942,10,"46,79,80,127,133,286,295,336"
eb06,to the,bigram,111,15481,3,"32,169,308"
eb06,would be,bigram,112,15283,1,62
eb06,you are,bigram,113,15213,3,139
eb06,has,unigram,114,15057,1,339
eb06,because,unigram,116,14728,4,"81,139,157"
eb06,question,unigram,117,14633,1,129
eb06,into,unigram,118,14586,1,28
eb06,need to,bigram,121,13767,1,46
eb06,on the,bigram,124,13529,9,"19,44,64,66,70,110,308,344,393"
eb06,see,unigram,129,12976,2,"157,336"
eb06,here,unigram,130,12949,1,90
eb06,than,unigram,131,12822,1,84
eb06,understand,unigram,139,11781,1,77
eb06,to make,bigram,141,11665,1,28
eb06,yes,unigram,144,11435,2,80
eb06,feel,unigram,147,11364,2,"28,40"
eb06,she,unigram,153,11017,12,"62,66,171,202,270,271,272,323,324"
eb06,these,unigram,155,10792,1,30
eb06,going,unigram,157,10589,1,336
eb06,different,unigram,158,10575,1,94
eb06,how to,bigram,159,10500,1,301
eb06,let,unigram,160,10454,2,"90,238"
eb06,time,unigram,161,10418,2,"92,344"
eb06,this is,bigram,162,10325,3,"62,99,342"
eb06,his,unigram,163,10253,17,"21,28,30,32,46,66,84,94,135,157,291,293,303,374"
eb06,am,unigram,164,10252,4,"129,137,411"
eb06,were,unigram,165,10094,4,"28,44,66,127"
eb06,ve,unigram,168,9706,1,202
eb06,him,unigram,171,9425,2,"171,367"
eb06,been,unigram,173,9288,7,"21,164,171,303,339,374"
eb06,car,unigram,176,9096,1,301
eb06,even,unigram,178,8954,1,157
eb06,have to,bigram,186,8544,1,287
eb06,first,unigram,194,8334,4,"21,90,225,273"
eb06,only,unigram,196,8257,3,"141,164,207"
eb06,going to,bigram,197,8213,1,336
eb06,bad,unigram,199,8143,1,139
eb06,for the,bigram,200,8126,4,"135,164,344"
eb06,with the,bigram,217,7484,1,46
eb06,they are,bigram,222,7386,3,135
eb06,used,unigram,224,7371,1,66
eb06,you know,bigram,225,7369,1,76
eb06,for you,bigram,231,7241,1,135
eb06,sex,unigram,233,7180,1,75
eb06,crime,unigram,236,7097,3,"129,164,188"
eb06,did,unigram,243,6825,3,"21,30,40"
eb06,those,unigram,244,6715,2,"32,135"
eb06,looking,unigram,252,6528,1,127
eb06,else,unigram,256,6479,2,"21,189"
eb06,put,unigram,257,6453,1,308
eb06,another,unigram,259,6434,1,301
eb06,never,unigram,260,6394,8,"34,78,273,287,339,340,341,395"
eb06,doing,unigram,262,6364,1,157
eb06,black,unigram,264,6361,3,"32,110,308"
eb06,own,unigram,272,6217,3,"117,291,293"
eb06,us,unigram,276,6158,2,"188,349"
eb06,specific,unigram,277,6154,1,171
eb06,from the,bigram,279,6128,2,"125,308"
eb06,body,unigram,281,6076,5,"21,28,34,336"
eb06,through,unigram,285,5976,2,"28,133"
eb06,local,unigram,286,5967,1,46
eb06,call,unigram,290,5925,3,"223,238,270"
eb06,off,unigram,291,5901,2,"17,34"
eb06,now,unigram,302,5723,5,"76,164,183,238,393"
eb06,over,unigram,304,5661,6,"51,66,228,295,308,365"
eb06,world,unigram,307,5605,1,306
eb06,start,unigram,312,5563,1,250
eb06,home,unigram,317,5507,1,205
eb06,keep,unigram,320,5396,1,82
eb06,doesn,unigram,321,5383,1,77
eb06,had,unigram,323,5315,9,"21,34,40,164,171,303,374,414"
eb06,to know,bigram,332,5200,1,76
eb06,life,unigram,333,5189,1,28
eb06,back,unigram,340,5044,3,"295,303,308"
eb06,away,unigram,344,4971,1,197
